KBLI
01111
01112
01113
01114
01115
01116
01118
01121
01122
01131
01132
01133
01134
01135
01139
01140
01150
01220
01252
01261
01269
01270
01282
01283
01299
01411
01413
01420
01442
01450
01461
01462
01464
01465
01611
01612
01613
01629
01630
02201
02202
03111
03112
03113
03114
03115
03119
03121
03217
03221
03254
07294
07295
07301
08101
08104
08930
09900
10391
10392
10631
10710
10722
10750
10761
10792
10794
10799
11051
11052
12091
13121
13122
14111
14120
16101
16221
16291
16292
16299
23911
23921
23922
23932
23951
23952
23963
25111
25933
28250
31001
32903
32909
35111
36001
38110
41011
41012
41013
41016
41017
41019
42101
42201
42911
42919
42929
43211
43302
43303
43909
45201
45404
45406
45407
46201
46209
46322
46339
46412
47111
47112
47191
47192
47211
47212
47213
47214
47215
47216
47219
47222
47230
47241
47242
47243
47245
47249
47301
47302
47414
47511
47524
47528
47591
47593
47611
47640
47711
47712
47721
47723
47724
47735
47742
47752
47754
47763
47772
47812
47813
47814
47815
47819
47822
47823
47824
47829
47832
47911
47912
47991
47992
47994
47995
47999
49415
49422
49423
49424
49429
49431
49432
50131
52101
52215
52292
53201
55110
55120
55193
55199
55900
56101
56102
56103
56104
56109
56210
56290
56303
56304
56306
61100
61999
64121
64122
64131
64141
64911
68200
69104
77291
80100
81210
82190
84111
84112
84113
84114
84115
84119
84121
84122
84123
84124
84125
84126
84127
84129
84131
84135
84137
84222
84231
84232
84234
85111
85112
85121
85122
85131
85132
85133
85139
85210
85220
85230
85240
85311
85321
85331
85452
85500
86101
86102
86103
86105
86901
86902
86903
94910
95120
95210
95220
95291
96111
96112
96200
96990
97000
98200
